frame,flexion_deg,adduction_deg,internal_rotation_deg,anterior_translation_mm,proximal_translation_mm,lateral_translation_mm
963,49.574,2.941,-0.318,1.721,-0.608,2.617
964,49.793,3.011,-0.239,1.765,-0.590,2.624
965,50.011,3.081,-0.160,1.810,-0.572,2.630
966,50.227,3.152,-0.081,1.856,-0.554,2.637
967,50.443,3.223,-0.002,1.902,-0.536,2.643
968,50.658,3.294,0.078,1.949,-0.518,2.649
969,50.871,3.366,0.158,1.996,-0.500,2.656
970,51.083,3.437,0.239,2.044,-0.483,2.662
971,51.294,3.510,0.319,2.092,-0.465,2.668
972,51.504,3.582,0.400,2.141,-0.448,2.674
973,51.713,3.655,0.482,2.191,-0.431,2.680
974,51.920,3.728,0.563,2.241,-0.414,2.686
975,52.126,3.801,0.645,2.291,-0.397,2.692
976,52.330,3.874,0.727,2.342,-0.380,2.698
977,52.534,3.948,0.809,2.393,-0.364,2.703
978,52.736,4.021,0.892,2.445,-0.347,2.709
979,52.936,4.095,0.975,2.497,-0.331,2.714
980,53.136,4.169,1.058,2.549,-0.315,2.719
981,53.334,4.243,1.141,2.602,-0.299,2.725
982,53.530,4.317,1.225,2.655,-0.283,2.730
983,53.725,4.392,1.308,2.708,-0.267,2.734
984,53.919,4.466,1.392,2.761,-0.252,2.739
985,54.111,4.541,1.476,2.815,-0.236,2.743
986,54.301,4.615,1.561,2.869,-0.221,2.748
987,54.491,4.690,1.645,2.923,-0.206,2.752
988,54.678,4.764,1.730,2.978,-0.191,2.756
989,54.864,4.839,1.815,3.032,-0.176,2.759
990,55.049,4.913,1.900,3.087,-0.161,2.763
991,55.232,4.988,1.985,3.141,-0.147,2.766
992,55.413,5.062,2.071,3.196,-0.132,2.769
993,55.593,5.136,2.157,3.251,-0.118,2.772
994,55.771,5.211,2.242,3.306,-0.104,2.774
995,55.948,5.285,2.328,3.361,-0.090,2.777
996,56.122,5.359,2.414,3.415,-0.076,2.779
997,56.296,5.433,2.500,3.470,-0.062,2.781
998,56.467,5.506,2.587,3.525,-0.049,2.782
999,56.637,5.580,2.673,3.580,-0.035,2.784
1000,56.805,5.653,2.759,3.634,-0.022,2.785
